listing_id,aspect,NSS_score
1791481,cleanliness,0.9090909090909092
1791481,communication,1.0
1791481,location,0.8723404255319149
1791481,value,1.0
1793000,amenities,0.9090909090909092
1793000,check_in,0.625
1793000,cleanliness,1.0
1793000,communication,0.936842105263158
1793000,location,0.8106508875739645
1793000,value,0.9166666666666666
1808600,amenities,1.0
1808600,check_in,0.8571428571428571
1808600,cleanliness,1.0
1808600,communication,0.9230769230769232
1808600,location,0.9672131147540984
1808600,value,0.5555555555555556
1816517,amenities,0.6923076923076923
1816517,check_in,1.0
1816517,cleanliness,0.9090909090909092
1816517,communication,0.9642857142857144
1816517,location,0.90625
1817644,cleanliness,1.0
1817644,communication,0.875
1817644,location,0.7777777777777778
1821471,amenities,1.0
1821471,check_in,1.0
1821471,cleanliness,0.868421052631579
1821471,communication,0.8666666666666667
1821471,location,0.7966101694915254
1821471,value,1.0
1836007,amenities,1.0
1836007,check_in,-1.0
1836007,cleanliness,0.9285714285714286
1836007,communication,0.8666666666666667
1836007,location,0.8947368421052632
1836007,value,1.0
1842066,amenities,0.3333333333333333
1842066,check_in,0.3333333333333333
1842066,cleanliness,0.6
1842066,communication,1.0
1842066,location,0.7142857142857143
1842066,value,1.0
1849029,check_in,1.0
1849029,cleanliness,1.0
1849029,communication,1.0
1849029,location,1.0
1849029,value,1.0
1862089,amenities,0.7419354838709677
1862089,check_in,1.0
1862089,cleanliness,0.9487179487179488
1862089,communication,0.9361702127659576
1862089,location,0.9289940828402368
1862089,value,0.9402985074626866
1862331,amenities,0.7894736842105263
1862331,check_in,0.2
1862331,cleanliness,0.7142857142857143
1862331,communication,0.9420289855072465
1862331,location,0.8924731182795699
1862331,value,0.813953488372093
1887544,amenities,0.6666666666666666
1887544,check_in,1.0
1887544,cleanliness,0.9148936170212766
1887544,communication,0.9473684210526316
1887544,location,1.0
1887544,value,1.0
1888303,amenities,1.0
1888303,cleanliness,1.0
1888303,communication,1.0
1888303,location,1.0
1897982,amenities,-0.3333333333333333
1897982,check_in,1.0
1897982,cleanliness,1.0
1897982,communication,1.0
1897982,location,1.0
1897982,value,0.0
1933894,amenities,1.0
1933894,check_in,1.0
1933894,cleanliness,1.0
1933894,communication,1.0
1936939,amenities,1.0
1936939,cleanliness,0.9642857142857144
1936939,communication,0.9402985074626866
1936939,location,0.8048780487804879
1936939,value,1.0
1943048,amenities,0.5789473684210527
1943048,check_in,0.8181818181818182
1943048,cleanliness,0.9666666666666668
1943048,communication,0.921875
1943048,location,0.8461538461538461
1943048,value,0.8857142857142857
1953657,amenities,1.0
1953657,check_in,0.0
1953657,cleanliness,0.9230769230769232
1953657,communication,1.0
1953657,location,0.9285714285714286
1953657,value,1.0
1961981,amenities,0.7777777777777778
1961981,check_in,1.0
1961981,cleanliness,0.8947368421052632
1961981,communication,0.7837837837837838
1961981,location,0.8
1961981,value,1.0
1963939,cleanliness,1.0
1963939,location,1.0
1963939,value,1.0
1982413,amenities,0.9166666666666666
1982413,check_in,0.76
1982413,cleanliness,1.0
1982413,communication,0.9351351351351352
1982413,location,0.9423076923076924
1982413,value,0.9574468085106383
2068795,amenities,0.375
2068795,check_in,0.7142857142857143
2068795,cleanliness,0.7777777777777778
2068795,communication,0.8691588785046729
2068795,location,0.726027397260274
2068795,value,0.9166666666666666
2068972,cleanliness,1.0
2068972,communication,1.0
2068972,location,1.0
2069445,amenities,1.0
2069445,cleanliness,1.0
2069445,location,1.0
2070131,amenities,0.4
2070131,check_in,0.5555555555555556
2070131,cleanliness,0.9047619047619048
2070131,communication,0.9375
2070131,location,0.864406779661017
2070131,value,0.8571428571428571
2077641,amenities,1.0
2077641,cleanliness,1.0
2077641,location,1.0
2112940,cleanliness,0.0
2112940,location,0.5
2112940,value,1.0
2118606,amenities,0.0
2118606,cleanliness,1.0
2118606,communication,1.0
2118606,location,1.0
2135883,amenities,0.8461538461538461
2135883,check_in,1.0
2135883,cleanliness,1.0
2135883,communication,1.0
2135883,location,0.975
2135883,value,1.0
2162578,amenities,0.8095238095238095
2162578,check_in,1.0
2162578,cleanliness,0.9130434782608696
2162578,communication,1.0
2162578,location,0.8701298701298701
2162578,value,1.0
2166902,amenities,0.7037037037037037
2166902,check_in,1.0
2166902,cleanliness,0.9545454545454546
2166902,communication,0.971830985915493
2166902,location,0.9444444444444444
2166902,value,1.0
2178237,amenities,1.0
2178237,check_in,0.3333333333333333
2178237,cleanliness,1.0
2178237,communication,0.9
2178237,location,1.0
2178237,value,0.0
2199975,check_in,1.0
2199975,cleanliness,1.0
2199975,communication,1.0
2199975,location,1.0
2199975,value,1.0
2234748,amenities,1.0
2234748,cleanliness,0.3333333333333333
2234748,communication,1.0
2262721,amenities,0.76
2262721,check_in,1.0
2262721,cleanliness,1.0
2262721,communication,0.9402985074626866
2262721,location,0.8292682926829268
2262721,value,1.0
2266425,amenities,0.7777777777777778
2266425,check_in,1.0
2266425,cleanliness,0.8947368421052632
2266425,communication,1.0
2266425,location,0.6666666666666666
2266425,value,1.0
2286703,amenities,0.8260869565217391
2286703,check_in,1.0
2286703,cleanliness,0.7551020408163265
2286703,communication,0.9298245614035088
2286703,location,0.8666666666666667
2286703,value,0.8723404255319149
2294502,amenities,0.7894736842105263
2294502,check_in,0.2
2294502,cleanliness,1.0
2294502,communication,1.0
2294502,location,0.9545454545454546
2294502,value,0.8666666666666667
2297767,amenities,0.0
2297767,cleanliness,1.0
2297767,communication,0.8181818181818182
2297767,location,0.7647058823529411
2297767,value,0.3333333333333333
2300491,amenities,1.0
2300491,check_in,1.0
2300491,cleanliness,0.9
2300491,communication,1.0
2300491,location,0.8867924528301887
2300491,value,0.8333333333333334
2321290,amenities,0.7391304347826086
2321290,check_in,1.0
2321290,cleanliness,1.0
2321290,communication,0.96875
2321290,location,0.9324324324324323
2321290,value,0.8181818181818182
2327076,amenities,0.6666666666666666
2327076,cleanliness,0.6
2327076,communication,1.0
2327076,location,0.8823529411764706
2327076,value,0.75
2332282,amenities,1.0
2332282,cleanliness,1.0
2332282,communication,1.0
2332282,location,0.9166666666666666
2332282,value,1.0
2360167,amenities,1.0
2360167,check_in,0.0
2360167,cleanliness,0.2307692307692307
2360167,communication,0.9090909090909092
2360167,location,1.0
2360167,value,1.0
2368241,amenities,0.6363636363636364
2368241,check_in,1.0
2368241,cleanliness,0.8823529411764706
2368241,communication,1.0
2368241,location,0.8490566037735849
2368241,value,0.7777777777777778
2368635,amenities,1.0
2368635,check_in,1.0
2368635,cleanliness,1.0
2368635,location,0.7142857142857143
2368635,value,1.0
2368771,amenities,1.0
2368771,check_in,1.0
2368771,cleanliness,0.0
2368771,communication,0.0
2368771,location,-1.0
2394858,amenities,1.0
2394858,check_in,1.0
2394858,cleanliness,1.0
2394858,communication,1.0
2394858,location,0.9696969696969696
2394858,value,0.8095238095238095
2401250,amenities,0.6666666666666666
2401250,check_in,1.0
2401250,cleanliness,1.0
2401250,communication,1.0
2401250,location,1.0
2401426,amenities,0.8571428571428571
2401426,check_in,1.0
2401426,cleanliness,0.8974358974358975
2401426,communication,1.0
2401426,location,0.9016393442622952
2401426,value,0.8857142857142857
2407610,cleanliness,1.0
2407610,communication,1.0
